School ID,School ID,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
610021, CASALS , Network 5 ,  372 ,  10 ,2.7%,  114 ,30.6%,  - ,0.0%,  1 ,0.3%,  243 ,65.3%,  2 ,0.5%,  1 ,0.3%,  1 ,0.3%,  - ,0.0%
609849, CASSELL , ISP ,  354 ,  232 ,65.5%,  25 ,7.1%,  - ,0.0%,  1 ,0.3%,  86 ,24.3%,  8 ,2.3%,  2 ,0.6%,  - ,0.0%,  - ,0.0%
610599, CATALPA , Network 1 ,  181 ,  86 ,47.5%,  3 ,1.7%,  - ,0.0%,  1 ,0.6%,  67 ,37.0%,  15 ,8.3%,  9 ,5.0%,  - ,0.0%,  - ,0.0%
400021, CATALYST - CIRCLE ROCK , Charter ,  504 ,  1 ,0.2%,  494 ,98.0%,  - ,0.0%,  1 ,0.2%,  7 ,1.4%,  - ,0.0%,  1 ,0.2%,  - ,0.0%,  - ,0.0%
400115, CATALYST - MARIA , Charter ,  546 ,  8 ,1.5%,  273 ,50.0%,  - ,0.0%,  2 ,0.4%,  254 ,46.5%,  5 ,0.9%,  - ,0.0%,  - ,0.0%,  4 ,0.7%
400182, CATALYST MARIA HS , Charter ,  557 ,  3 ,0.5%,  196 ,35.2%,  - ,0.0%,  1 ,0.2%,  355 ,63.7%,  2 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610251, CATHER , Network 5 ,  323 ,  1 ,0.3%,  305 ,94.4%,  - ,0.0%,  1 ,0.3%,  13 ,4.0%,  3 ,0.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609851, CHALMERS , Network 5 ,  224 ,  3 ,1.3%,  205 ,91.5%,  - ,0.0%,  2 ,0.9%,  13 ,5.8%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609852, CHAPPELL , Network 2 ,  569 ,  261 ,45.9%,  28 ,4.9%,  - ,0.0%,  2 ,0.4%,  208 ,36.6%,  41 ,7.2%,  29 ,5.1%,  - ,0.0%,  - ,0.0%
609853, CHASE , Network 4 ,  393 ,  71 ,18.1%,  37 ,9.4%,  - ,0.0%,  - ,0.0%,  257 ,65.4%,  13 ,3.3%,  7 ,1.8%,  - ,0.0%,  8 ,2.0%
