School ID,Educational Unit,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
610083, BEARD , Network 1 ,  249 ,  96 ,38.6%,  17 ,6.8%,  - ,0.0%,  - ,0.0%,  109 ,43.8%,  8 ,3.2%,  18 ,7.2%,  1 ,0.4%,  - ,0.0%
610246, BEASLEY , Network 9 ,"  1,064 ",  - ,0.0%,"  1,030 ",96.8%,  - ,0.0%,  2 ,0.2%,  16 ,1.5%,  4 ,0.4%,  - ,0.0%,  2 ,0.2%,  10 ,0.9%
609796, BEAUBIEN , Network 1 ,  960 ,  350 ,36.5%,  35 ,3.6%,  - ,0.0%,  - ,0.0%,  332 ,34.6%,  64 ,6.7%,  166 ,17.3%,  6 ,0.6%,  7 ,0.7%
610237, BEETHOVEN , Network 9 ,  264 ,  - ,0.0%,  256 ,97.0%,  - ,0.0%,  2 ,0.8%,  5 ,1.9%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609797, BEIDLER , Network 5 ,  260 ,  - ,0.0%,  248 ,95.4%,  - ,0.0%,  - ,0.0%,  12 ,4.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609798, BELDING , Network 1 ,  550 ,  271 ,49.3%,  30 ,5.5%,  - ,0.0%,  5 ,0.9%,  194 ,35.3%,  20 ,3.6%,  27 ,4.9%,  3 ,0.5%,  - ,0.0%
609799, BELL , Network 4 ,  885 ,  490 ,55.4%,  18 ,2.0%,  - ,0.0%,  - ,0.0%,  159 ,18.0%,  101 ,11.4%,  113 ,12.8%,  3 ,0.3%,  1 ,0.1%
609922, BELMONT-CRAGIN , Network 3 ,  491 ,  5 ,1.0%,  8 ,1.6%,  - ,0.0%,  2 ,0.4%,  471 ,95.9%,  - ,0.0%,  3 ,0.6%,  - ,0.0%,  2 ,0.4%
609800, BENNETT , Network 13 ,  267 ,  - ,0.0%,  262 ,98.1%,  - ,0.0%,  - ,0.0%,  2 ,0.7%,  2 ,0.7%,  - ,0.0%,  1 ,0.4%,  - ,0.0%
610350, BLACK , Network 12 ,  399 ,  - ,0.0%,  389 ,97.5%,  - ,0.0%,  - ,0.0%,  8 ,2.0%,  2 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609803, BLAINE , Network 4 ,  634 ,  421 ,66.4%,  19 ,3.0%,  - ,0.0%,  - ,0.0%,  98 ,15.5%,  56 ,8.8%,  38 ,6.0%,  2 ,0.3%,  - ,0.0%
610087, BLAIR , Network 10 ,  228 ,  39 ,17.1%,  16 ,7.0%,  - ,0.0%,  - ,0.0%,  170 ,74.6%,  1 ,0.4%,  1 ,0.4%,  1 ,0.4%,  - ,0.0%
609698, BOGAN HS , Network 16 ,  641 ,  7 ,1.1%,  369 ,57.6%,  - ,0.0%,  1 ,0.2%,  259 ,40.4%,  4 ,0.6%,  - ,0.0%,  1 ,0.2%,  - ,0.0%
610238, BOND , Network 11 ,  226 ,  - ,0.0%,  214 ,94.7%,  - ,0.0%,  - ,0.0%,  12 ,5.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609804, BOONE , Network 2 ,  714 ,  92 ,12.9%,  73 ,10.2%,  - ,0.0%,  4 ,0.6%,  289 ,40.5%,  10 ,1.4%,  246 ,34.5%,  - ,0.0%,  - ,0.0%
609815, BOUCHET , Network 12 ,  597 ,  2 ,0.3%,  578 ,96.8%,  - ,0.0%,  2 ,0.3%,  12 ,2.0%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  2 ,0.3%
610323, BOWEN HS , Network 17 ,  197 ,  5 ,2.5%,  148 ,75.1%,  - ,0.0%,  - ,0.0%,  41 ,20.8%,  3 ,1.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609806, BRADWELL , Network 12 ,  420 ,  - ,0.0%,  408 ,97.1%,  - ,0.0%,  - ,0.0%,  9 ,2.1%,  3 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610242, BRENNEMANN , Network 2 ,  434 ,  30 ,6.9%,  236 ,54.4%,  - ,0.0%,  4 ,0.9%,  107 ,24.7%,  13 ,3.0%,  17 ,3.9%,  - ,0.0%,  27 ,6.2%
609809, BRENTANO , Network 4 ,  691 ,  247 ,35.7%,  34 ,4.9%,  - ,0.0%,  1 ,0.1%,  347 ,50.2%,  49 ,7.1%,  10 ,1.4%,  2 ,0.3%,  1 ,0.1%
609810, BRIDGE , Network 1 ,"  1,085 ",  381 ,35.1%,  22 ,2.0%,  - ,0.0%,  2 ,0.2%,  609 ,56.1%,  21 ,1.9%,  48 ,4.4%,  2 ,0.2%,  - ,0.0%
609811, BRIGHT , Network 13 ,  228 ,  3 ,1.3%,  154 ,67.5%,  - ,0.0%,  - ,0.0%,  71 ,31.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610317, BRIGHTON PARK , Network 8 ,  277 ,  8 ,2.9%,  3 ,1.1%,  - ,0.0%,  2 ,0.7%,  259 ,93.5%,  1 ,0.4%,  4 ,1.4%,  - ,0.0%,  - ,0.0%
610590, BRONZEVILLE CLASSICAL , Network 9 ,  395 ,  21 ,5.3%,  291 ,73.7%,  - ,0.0%,  1 ,0.3%,  21 ,5.3%,  28 ,7.1%,  33 ,8.4%,  - ,0.0%,  - ,0.0%
610381, BRONZEVILLE HS , Network 17 ,  73 ,  1 ,1.4%,  67 ,91.8%,  - ,0.0%,  - ,0.0%,  4 ,5.5%,  - ,0.0%,  - ,0.0%,  1 ,1.4%,  - ,0.0%
609726, BROOKS HS , ISP ,  977 ,  10 ,1.0%,  770 ,78.8%,  - ,0.0%,  1 ,0.1%,  180 ,18.4%,  7 ,0.7%,  2 ,0.2%,  2 ,0.2%,  5 ,0.5%
610091, BROWN R , Network 13 ,  292 ,  - ,0.0%,  289 ,99.0%,  - ,0.0%,  1 ,0.3%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  1 ,0.3%
609812, BROWN W , Network 6 ,  209 ,  2 ,1.0%,  192 ,91.9%,  - ,0.0%,  - ,0.0%,  13 ,6.2%,  1 ,0.5%,  1 ,0.5%,  - ,0.0%,  - ,0.0%
609813, BROWNELL , Network 12 ,  135 ,  1 ,0.7%,  131 ,97.0%,  - ,0.0%,  - ,0.0%,  1 ,0.7%,  2 ,1.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609830, BRUNSON , Network 3 ,  420 ,  2 ,0.5%,  356 ,84.8%,  - ,0.0%,  2 ,0.5%,  58 ,13.8%,  1 ,0.2%,  - ,0.0%,  1 ,0.2%,  - ,0.0%
609817, BUDLONG , ISP ,  675 ,  223 ,33.0%,  40 ,5.9%,  - ,0.0%,  5 ,0.7%,  264 ,39.1%,  27 ,4.0%,  112 ,16.6%,  - ,0.0%,  4 ,0.6%
