School ID, School Name , Network ,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
400157,NOBLE - BAKER HS,Charter,240,34,14.2%,60,25.0%,217,90.4%
400097,NOBLE - BULLS HS,Charter,1152,177,15.4%,208,18.1%,1029,89.3%
400156,NOBLE - BUTLER HS,Charter,637,17,2.7%,111,17.4%,574,90.1%
400052,NOBLE - COMER,Charter,1037,11,1.1%,160,15.4%,948,91.4%
400118,NOBLE - DRW HS,Charter,375,5,1.3%,95,25.3%,357,95.2%
400053,NOBLE - GOLDER HS,Charter,650,180,27.7%,103,15.8%,570,87.7%
400117,NOBLE - HANSBERRY HS,Charter,518,4,0.8%,109,21.0%,475,91.7%
400169,NOBLE - ITW SPEER HS,Charter,1099,384,34.9%,155,14.1%,996,90.6%
400106,NOBLE - JOHNSON HS,Charter,459,8,1.7%,100,21.8%,439,95.6%
400179,NOBLE - MANSUETO HS,Charter,1068,447,41.9%,136,12.7%,985,92.2%
400098,NOBLE - MUCHIN HS,Charter,941,155,16.5%,120,12.8%,784,83.3%
400051,NOBLE - NOBLE HS,Charter,674,172,25.5%,85,12.6%,542,80.4%
400054,NOBLE - PRITZKER HS,Charter,990,381,38.5%,131,13.2%,921,93.0%
400055,NOBLE - RAUNER HS,Charter,599,143,23.9%,83,13.9%,518,86.5%
400056,NOBLE - ROWE CLARK HS,Charter,345,30,8.7%,75,21.7%,331,95.9%
400057,NOBLE - UIC HS,Charter,935,147,15.7%,124,13.3%,824,88.1%
610354,NORTH RIVER,Network 1,296,211,71.3%,57,19.3%,166,56.1%
609691,NORTH-GRAND HS,Network 15,1047,386,36.9%,180,17.2%,951,90.8%
609744,NORTHSIDE LEARNING HS,Network 14,277,139,50.2%,277,100.0%,220,79.4%
609749,NORTHSIDE PREP HS,Network 14,1033,40,3.9%,121,11.7%,402,38.9%
610051,NORTHWEST,Network 3,513,307,59.8%,95,18.5%,445,86.7%
610099,NORWOOD PARK,Network 1,325,39,12.0%,48,14.8%,48,14.8%
610101,OGDEN ES,Network 15,910,180,19.8%,100,11.0%,395,43.4%
610529,OGDEN HS,Network 15,510,53,10.4%,56,11.0%,386,75.7%
610102,OGLESBY,Network 11,278,0,0.0%,37,13.3%,230,82.7%
610103,OKEEFFE,Network 12,501,8,1.6%,77,15.4%,427,85.2%
610569,OMBUDSMAN - NORTHWEST HS,Options,240,38,15.8%,55,22.9%,193,80.4%
610593,OMBUDSMAN - ROSELAND HS,Options,137,4,2.9%,28,20.4%,127,92.7%
610570,OMBUDSMAN - SOUTH HS,Options,215,38,17.7%,37,17.2%,202,94.0%
610571,OMBUDSMAN - WEST HS,Options,148,9,6.1%,23,15.5%,138,93.2%
610104,ONAHAN,Network 1,647,65,10.0%,117,18.1%,192,29.7%
610105,ORIOLE PARK,Network 1,587,62,10.6%,66,11.2%,128,21.8%
610329,OROZCO,Network 7,268,142,53.0%,37,13.8%,190,70.9%
610389,ORR HS,Network 15,230,56,24.3%,49,21.3%,179,77.8%
609950,ORTIZ DE DOMINGUEZ,Network 7,399,295,73.9%,104,26.1%,271,67.9%
610107,OTIS,Network 6,347,155,44.7%,123,35.4%,276,79.5%
610108,OTOOLE,Network 11,274,53,19.3%,27,9.9%,235,85.8%
610109,OWEN,Network 10,276,4,1.4%,39,14.1%,151,54.7%
609943,OWENS,Network 13,332,10,3.0%,69,20.8%,287,86.4%
610111,PALMER,ISP,757,304,40.2%,102,13.5%,430,56.8%
610115,PARK MANOR,Network 12,252,2,0.8%,44,17.5%,215,85.3%
610112,PARKER,Network 11,355,7,2.0%,41,11.5%,294,82.8%
610116,PARKSIDE,Network 12,245,0,0.0%,35,14.3%,204,83.3%
610117,PASTEUR,Network 8,625,259,41.4%,106,17.0%,444,71.0%
610557,PATHWAYS - ASHBURN HS,Options,265,48,18.1%,49,18.5%,246,92.8%
610568,PATHWAYS - AVONDALE HS,Options,302,49,16.2%,60,19.9%,270,89.4%
400173,PATHWAYS - BRIGHTON PARK HS,Options,427,117,27.4%,67,15.7%,403,94.4%
610594,PATHWAYS - HUMBOLDT PARK HS,Options,162,26,16.0%,33,20.4%,148,91.4%
609680,PAYTON HS,Network 15,1260,30,2.4%,121,9.6%,417,33.1%
610386,PEACE AND EDUCATION HS,Options,146,56,38.4%,25,17.1%,128,87.7%
610120,PECK,ISP,754,475,63.0%,88,11.7%,565,74.9%
610122,PEIRCE,ISP,1101,188,17.1%,161,14.6%,349,31.7%
610123,PENN,Network 7,216,8,3.7%,54,25.0%,174,80.6%
609872,PEREZ,Network 7,302,115,38.1%,54,17.9%,198,65.6%
610126,PERSHING,Network 9,396,22,5.6%,59,14.9%,301,76.0%
400064,PERSPECTIVES - JOSLIN HS,Charter,330,4,1.2%,69,20.9%,294,89.1%
400061,PERSPECTIVES - LEADERSHIP HS,Charter,847,2,0.2%,121,14.3%,769,90.8%
400066,PERSPECTIVES - MATH & SCI HS,Charter,399,2,0.5%,43,10.8%,376,94.2%
400062,PERSPECTIVES - TECH HS,Charter,427,4,0.9%,62,14.5%,390,91.3%
610127,PETERSON,Network 1,893,333,37.3%,108,12.1%,439,49.2%
609727,PHILLIPS HS,Network 17,385,3,0.8%,75,19.5%,350,90.9%
610304,PHOENIX MILITARY HS,ISP,401,90,22.4%,32,8.0%,368,91.8%
610106,PICCOLO,Network 5,640,328,51.3%,113,17.7%,498,77.8%
610129,PICKARD,Network 7,293,122,41.6%,60,20.5%,220,75.1%
610013,PILSEN,Network 7,223,119,53.4%,46,20.6%,162,72.6%
610130,PIRIE,Network 12,182,2,1.1%,26,14.3%,152,83.5%
610131,PLAMONDON,ISP,84,31,36.9%,20,23.8%,60,71.4%
400068,PLATO,Contract,182,0,0.0%,21,11.5%,150,82.4%
610132,POE,Network 13,229,0,0.0%,9,3.9%,86,37.6%
400069,POLARIS,Charter,356,3,0.8%,43,12.1%,297,83.4%
610135,PORTAGE PARK,Network 1,889,203,22.8%,154,17.3%,544,61.2%
610281,POWELL,Network 12,548,37,6.8%,79,14.4%,437,79.7%
610136,PRESCOTT,Network 4,415,31,7.5%,64,15.4%,125,30.1%
610533,PRIETO,Network 3,751,434,57.8%,113,15.0%,618,82.3%
610229,PRITZKER,Network 6,653,39,6.0%,67,10.3%,160,24.5%
609679,PROSSER HS,Network 15,1170,297,25.4%,182,15.6%,1062,90.8%
400071,PROVIDENCE ENGLEWOOD,Charter,446,7,1.6%,33,7.4%,360,80.7%
610137,PRUSSING,Network 1,661,236,35.7%,90,13.6%,418,63.2%
610138,PULASKI,Network 6,840,141,16.8%,103,12.3%,320,38.1%
