School ID,School Name,Network,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
609981,Phobe Apperson Hearst Elementary School,Network 10,343.0,108.5,31.65,75.0,21.9,337.0,98.26
609983,James Hedges Elementary School,Network 8,815.5,453.5,55.5,91.0,11.15,803.5,98.55
609985,Helen M Hefferan Elementary School,Network 5,431.5,0.0,0.0,52.5,12.16,404.5,93.76
609986,Charles R Henderson Elementary School,Network 11,354.0,4.0,1.13,41.5,11.74,346.5,97.86
609987,Thomas A Hendricks Elementary Community Academy,Network 9,266.5,5.0,1.88,46.0,17.26,258.5,96.99
609988,Patrick Henry Elementary School,Network 1,671.0,325.0,48.46,68.0,10.14,649.5,96.78
609990,South Loop Elementary School,Network 6,887.5,64.0,7.19,38.5,4.35,286.0,32.2
609991,Theodore Herzl Elementary School,AUSL,571.5,2.5,0.44,75.5,13.26,543.5,95.22
609993,Agustin Lara Elementary Academy,Network 8,519.0,205.0,39.34,45.5,8.8,512.5,98.74
609994,William G Hibbard Elementary School,Network 1,,470.0,39.33,136.5,11.44,,97.24
609995,Rufus M Hitch Elementary School,Network 1,573.5,132.5,23.13,78.5,13.7,380.0,66.27
609996,Charles N Holden Elementary School,Network 6,536.5,120.5,22.48,60.0,11.18,515.5,96.08
609997,Oliver Wendell Holmes Elementary School,OS4,251.0,0.5,0.22,32.0,12.86,233.0,93.4
610000,Julia Ward Howe Elementary School of Excellence,AUSL,616.5,0.5,0.08,92.0,14.95,609.0,98.83
610002,Thomas Hoyne Elementary School,Network 12,247.0,0.0,0.0,31.5,12.76,222.0,89.9
610003,Paul Cuffe Math-Science Technology Academy ES,Network 11,457.5,1.0,0.22,58.0,12.68,423.5,92.57
610004,Countee Cullen Elementary School,Network 13,252.0,1.0,0.41,30.0,11.95,244.5,97.02
610005,Charles Evans Hughes Elementary School,Network 5,318.5,1.5,0.46,32.0,10.06,315.0,98.9
610006,Edward N Hurley Elementary School,Network 10,850.0,266.5,31.36,84.0,9.88,620.0,73.05
610009,Galileo Math & Science Scholastic Academy ES,Network 6,559.5,55.0,9.83,52.5,9.38,390.0,69.71
610010,Friedrich Ludwig Jahn Elementary School,Network 4,403.5,73.0,17.96,56.0,14.0,312.0,77.31
610011,Minnie Mars Jamieson Elementary School,Network 2,906.5,242.0,26.68,111.5,12.3,680.5,75.06
610012,Edward Jenner Elementary Academy of the Arts,Network 6,261.5,0.5,0.18,54.5,20.79,255.0,97.44
610013,Pilsen Elementary Community Academy,Network 7,430.0,178.0,41.33,115.5,26.86,408.5,94.94
610015,Joseph Jungman Elementary School,Network 7,278.5,137.0,49.22,50.5,18.12,253.5,90.86
610016,Kate S Kellogg Elementary School,Network 10,258.0,0.0,0.0,40.0,15.52,125.5,48.68
610017,Maria Saucedo Elementary Scholastic Academy,Network 7,,518.5,41.38,106.0,8.47,,95.5
610018,Miriam G Canter Middle School,Network 9,95.0,1.0,1.05,20.0,21.05,86.0,90.53
610019,Joshua D Kershaw Elementary School,Network 11,271.5,0.0,0.0,39.5,14.56,252.0,92.78
610021,Pablo Casals Elementary School,AUSL,482.5,71.0,14.76,68.0,14.09,473.5,98.14
610022,Joyce Kilmer Elementary School,Network 2,794.0,396.5,49.97,141.0,17.78,762.5,96.04
610024,Lazaro Cardenas Elementary School,Network 7,711.0,342.0,48.1,62.0,8.72,702.0,98.74
610026,John H Kinzie Elementary School,Network 10,678.5,102.0,15.02,155.5,22.91,465.0,68.54
610027,Rudyard Kipling Elementary School,Network 11,386.0,2.0,0.52,62.0,16.09,338.5,87.74
610029,Rodolfo Lozano Bilingual & International Ctr ES,Network 6,276.0,130.5,47.42,65.5,23.82,202.0,74.18
610030,Charles Kozminski Elementary Community Academy,Network 9,378.0,1.0,0.26,37.0,9.78,341.0,90.28
610032,Wendell E Green Elementary School,Network 11,315.5,0.0,0.0,45.0,14.28,296.0,93.83
610033,LaSalle Elementary Language Academy,Network 4,554.0,31.5,5.68,60.5,10.92,165.5,29.88
610034,Lawndale Elementary Community Academy,OS4,449.0,0.0,0.0,44.5,9.92,442.5,98.63
610036,Leslie Lewis Elementary School,AUSL,499.5,42.5,8.5,53.0,10.61,492.5,98.58
610037,Arthur A Libby Elementary School,Network 11,502.5,51.0,10.16,84.5,16.84,497.5,99.0
610038,Abraham Lincoln Elementary School,Network 4,816.0,53.0,6.48,50.5,6.18,111.0,13.6
610039,Carl von Linne Elementary School,Network 4,665.5,214.0,32.16,87.0,13.08,629.0,94.52
610040,Henry D Lloyd Elementary School,Network 3,,758.5,60.4,134.5,10.71,,96.3
610041,Josephine C Locke Elementary School,Network 3,,413.0,29.92,196.0,14.22,,89.85
610043,Joseph Lovett Elementary School,Network 3,460.5,16.5,3.6,58.5,12.69,436.0,94.68
610044,James Russell Lowell Elementary School,Network 5,638.0,158.0,24.77,160.5,25.18,613.5,96.16
610046,Mary Lyon Elementary School,Network 3,,452.5,31.85,154.0,10.84,,95.08
